,KALCODE,Result,Average_Fuel_Price
1191,39010104,"[1, 2, 0]",1.3575735377626348
1192,39010105,"[2, 0, 1]",1.3389328400682983
1193,39010106,"[0, 2, 1, 1]",1.359457540471457
1194,39010108,"[2, 0, 0, 1]",1.349427293382562
1195,39010115,"[2, 0, 1, 2]",1.238507790368272
1196,39010119,"[2, 1, 0]",1.382838432835821
1197,39010201,"[1, 0, 2, 2]",1.3413453608247423
1198,39010203,"[1, 0, 2]",1.3139772274409338
1199,39010303,"[1, 0]",1.3813543854669315
1200,39010401,"[0, 2, 1]",1.3742911104799773
1201,39010404,"[2, 0, 1]",1.3462098061573549
1202,39010408,"[1, 0, 2, 0]",1.3513500142166621
1203,39010409,"[1, 0]",1.3363696217152758
1204,39010411,"[1, 2, 0]",1.4153015963511975
1205,39020101,"[0, 1]",1.362617373335857
1206,39020103,[0],1.395066115702479
1207,39020105,"[0, 1, 2]",1.3745605802047782
1208,39020106,"[2, 1, 0]",1.3816576678980772
1209,39020201,[0],1.3397096131583976
1210,39030101,"[1, 2, 1, 0]",1.3822554955467121
1211,39030103,"[1, 0]",1.2493888729566964
1212,39030106,"[0, 2, 1, 0]",1.2415353671015605
1213,39030201,"[1, 0, 0, 0, 0, 2, 0]",1.259532169117647
1214,39030202,"[1, 0, 0, 2]",1.369255285259195
1215,39030203,"[0, 2, 1]",1.412204836415363
1216,39030301,"[0, 1]",1.21450884086444
1217,39040101,[0],1.353431972869686
1218,39040111,"[1, 0]",1.36625533428165
1219,39040116,"[0, 2, 1]",1.3563181775125508
1220,39040301,[0],1.4116616832386362
1221,39050101,[0],1.4442993102850294
1222,39050106,"[0, 1]",1.364928613053613
1223,39050113,[0],1.3513507329281373
1224,39050201,[0],1.4075115089514068
1225,39060101,"[0, 0, 2, 1]",1.3651926325906383
1226,39060102,"[1, 0]",1.5476029962546816
1227,39060107,"[0, 1, 2]",1.320970646907951
1228,39060108,"[2, 0, 1, 0, 0]",1.1976608238387376
1229,39060112,"[0, 1, 2, 2]",1.3781032559281636
1230,39060114,"[2, 1, 0]",1.370965527065527
1231,39060117,"[1, 2, 0]",1.287421268507403
1232,39060118,"[0, 1, 2, 2]",1.3449977009859688
1233,39060119,"[0, 2, 1, 2]",1.4294781105990784
1234,39060120,"[1, 0]",1.3270339994035192
1235,39070101,"[2, 0, 1]",1.353789414350539
1236,39070102,"[0, 1, 0, 2]",1.4800000000000004
1237,39070107,"[0, 1]",1.2475253456221198
1238,39070201,"[1, 0]",1.361105310341565
1239,39070301,"[2, 2, 0, 2, 1]",1.3673024113475176
1240,40010101,"[0, 2, 1, 0]",1.3544764954783648
1241,40010110,"[2, 0, 1]",1.4560693852420195
1242,40010111,"[1, 0]",1.380942485421592
1243,40010301,"[0, 1]",1.3745105173393974
1244,40010401,"[0, 1, 0, 0, 0, 2]",1.3997175991669033
1245,40010402,"[1, 2, 0]",1.3812402659069327
1246,40010404,"[1, 0]",1.3455491338582677
1247,40010501,"[0, 2, 1, 0]",1.340725821729658
1248,40010502,"[0, 2, 0, 1, 0]",1.4561565728366979
