,KALCODE,neighbors
75,01040103,"['01040101', '01040108', '01040202', '01020106', '01040103', '01020104', '01020117', '01040102']"
76,01040104,"['01040101', '01040106', '01040104', '01020207', '01020205', '01040105', '01020201']"
77,01040105,"['01040104', '01020205', '01040105', '01020201', '01020206', '01020211', '01040109']"
78,01040106,"['01040101', '03010103', '01040106', '01020210', '01040104', '01020205']"
79,01040107,"['03010105', '01040204', '01040107', '01040207', '01040110', '03010106', '01040101']"
80,01040108,"['01040110', '01040205', '01040101', '01040108', '01040202', '01040103']"
81,01040109,"['01020205', '01040105', '01020214', '01020211', '01040109', '01020212', '01020301', '03050206']"
82,01040110,"['01040107', '01040207', '01040110', '01040205', '01040101', '01040108']"
83,01040201,"['01040207', '01040203', '01040201', '01040206', '01010301', '01010302']"
84,01040202,"['01040205', '01040206', '01040108', '01010303', '01040202', '01020106', '01040103', '01010109', '01010104', '01010101', '01010102']"
85,01040203,"['01040207', '01040203', '01040201', '01010304', '01010301']"
86,01040204,"['01040204', '01040107', '01040207']"
87,01040205,"['01040207', '01040110', '01040205', '01040206', '01040108', '01010303', '01040202']"
88,01040206,"['01040207', '01040201', '01040205', '01040206', '01010302', '01010303', '01040202']"
89,01040207,"['01040204', '01040107', '01040207', '01040203', '01040201', '01040110', '01040205', '01040206']"
90,02010101,"['02010104', '02010103', '02010111', '02010108', '02010107', '02010113', '02010101', '02010102', '02010110', '02010109', '02010106', '02010112', '02010105']"
91,02010102,"['02010113', '02040202', '02010101', '02010102', '02010109', '02010106']"
92,02010103,"['02050203', '02050201', '02010104', '02010103', '02050207', '02010111', '02010101']"
93,02010104,"['02020104', '02050203', '02050201', '02010104', '02010103', '02020204', '02010107', '02010113', '02010101']"
94,02010105,"['02010101', '02010109', '02010106', '02010112', '02050110', '02030004', '02010105', '02010201']"
95,02010106,"['02040202', '02040201', '02010101', '02010102', '02040203', '02040204', '02040207', '02010106', '02040101', '02010105', '02010201']"
96,02010107,"['02010104', '02020204', '02010108', '02010107', '02010101']"
97,02010108,"['02020105', '02020204', '02010108', '02010107', '02010113', '02010101']"
98,02010109,"['02010101', '02010102', '02010109', '02010112', '02010105']"
99,02010110,"['02010111', '02050202', '02010101', '02010110', '02050109', '02010112']"
100,02010111,"['02010103', '02050207', '02010111', '02050202', '02010101', '02010110']"
101,02010112,"['02010101', '02010110', '02050109', '02010109', '02010112', '02050110', '02010105']"
102,02010113,"['02020104', '02010104', '02020101', '02020105', '02020204', '02010108', '02010113', '02040202', '02010101', '02010102']"
103,02010201,"['02010106', '02040101', '02030004', '02010105', '02010202', '02040103', '02010201', '02030012', '02030016']"
104,02010202,"['02010202', '02040103', '02010201']"
105,02020101,"['05030401', '02020103', '02020102', '02020104', '02020101', '02020202', '02020105', '02020204', '02010113']"
106,02020102,"['05030401', '02020102', '02020104', '02020101']"
107,02020103,"['05030101', '05030403', '05030402', '05030401', '02020103', '05010201', '02020101', '05010207', '02020202']"
108,02020104,"['05030401', '12020303', '02020102', '02020104', '02050203', '02010104', '02020101', '02010113']"
109,02020105,"['02020101', '02020105', '02020204', '02010108', '02010113']"
110,02020201,"['05010201', '05010207', '02020202', '02020205', '02020204', '02020201', '05010206', '02020206', '02040202']"
111,02020202,"['02020103', '02020101', '05010207', '02020202', '02020205', '02020204', '02020201']"
112,02020203,"['02020206', '02020203', '02040202', '02040201']"
113,02020204,"['02010104', '02020101', '02020202', '02020105', '02020204', '02020201', '02010108', '02010107', '02010113', '02040202']"
114,02020205,"['05010207', '02020202', '02020205', '02020201']"
115,02020206,"['02020201', '05010206', '02020206', '02020203', '02040202', '02040205', '02040201']"
116,02030001,"['02030015', '02030005', '02030013', '02030004', '02030001', '02030006', '02030017', '02030002', '02030010']"
117,02030002,"['02030004', '02030001', '02030011', '02030002', '02030014', '02030010']"
118,02030003,"['02030009', '12010201', '02030015', '02030003', '02030008', '02030006', '02030007']"
