,KALCODE,neighbors
753,09010606,"['07140202', '07130206', '07140203', '09010606', '09010601', '09010202', '09010603']"
754,09010607,"['07130203', '07130206', '09010604', '09010607', '09010601', '09010602', '09010605']"
755,09010701,"['09010103', '09010109', '09010702', '09010701', '09010703', '09010704', '09010302', '09010301']"
756,09010702,"['09010110', '09010103', '09010702', '09010701', '09010703', '09020104']"
757,09010703,"['09010702', '09010701', '09010703', '09010302', '09020104', '09020111', '09020106']"
758,09010704,"['09010404', '09010101', '09010414', '09010109', '09010701', '09010704', '09010301']"
759,09020101,"['09020104', '09020108', '09020201', '09020101', '09020110', '09020106']"
760,09020102,"['07130102', '09020402', '09020403', '09010602', '09020102', '09010605', '09020104', '09020103']"
761,09020103,"['09020402', '09020403', '09020401', '09020102', '09010605', '09020104', '09020103', '09020205', '09020108', '09020201']"
762,09020104,"['09010110', '09010103', '09010702', '09010703', '09020102', '09010605', '09010108', '09020104', '09020103', '09020108', '09020101', '09020111', '09020106']"
763,09020105,"['09010302', '09020105', '09020106', '09020107']"
764,09020106,"['09010703', '09010302', '09020105', '09020104', '09020101', '09020110', '09020109', '09020111', '09020204', '09020106', '09020203', '09020107']"
765,09020107,"['09020105', '09020106', '09020107']"
766,09020108,"['09020104', '09020103', '09020108', '09020201', '09020101']"
767,09020109,"['09020201', '09020110', '09020109', '09020204', '09020106', '09020203']"
768,29040301,"['29040306', '29040304', '29040301', '29040307']"
769,29040302,"['29070305', '29040108', '29040109', '29040305', '29040105', '29040302', '29040306', '29040307']"
770,29040303,"['29040305', '29040307', '29040308', '29040303']"
771,29040304,"['29040102', '29040101', '29040105', '29040306', '29040304', '29040301']"
772,29040305,"['29070305', '29070307', '29040305', '29040302', '29040307', '29040308', '29040303']"
773,29040306,"['29040105', '29040302', '29040306', '29040304', '29040301', '29040307']"
774,29040307,"['29040305', '29040302', '29040306', '29040301', '29040307', '29040303']"
775,29040308,"['29040305', '29040308', '29040303']"
776,29040401,"['29040203', '29040401']"
777,29040501,"['29040503', '29040501', '29040101']"
778,29040502,"['29040201', '29040502', '29040104', '29040106', '29040504', '29040503', '29040101']"
779,29040503,"['29040201', '29040502', '29040504', '29040202', '29040503', '29040501', '29040101']"
780,29040504,"['29040201', '29040502', '29040504', '29040202', '29040503']"
781,29050101,"['29050101', '29050102', '29050301', '29050104', '29050105', '29050103']"
782,29050102,"['29050101', '29050102', '29050106', '29050105']"
783,29050103,"['29050101', '29050104', '29050105', '29050103', '29050308', '29050307', '29050305', '29050302']"
784,29050104,"['29050101', '29050301', '29050104', '29050306', '29050103', '29050308']"
785,29050105,"['29050101', '29050102', '29050106', '29050105', '29050103', '29050305']"
786,29050106,"['29050102', '29050106', '29050105', '29050202', '29050305']"
787,29050201,"['29050202', '29050305', '29050201']"
788,29050202,"['29050106', '29050202', '29050305', '29050201']"
789,29050301,"['29050101', '29050301', '29050104', '29050306', '29050308', '29050309']"
790,29050302,"['29050103', '29050307', '29050305', '29050302', '29050304']"
791,35010210,"['35010206', '35010201', '35010210', '35010209']"
792,35010211,"['35010207', '35010206', '35010211', '35010201', '35010205', '35010204']"
793,35010301,"['35010306', '35010311', '35010308', '35010301', '35010312']"
794,35010302,"['35010312', '35010313', '35010302']"
795,35010303,"['35010310', '35010305', '35010303', '35010304', '35010306', '35010702']"
796,35010304,"['35010305', '35010303', '35010304', '35010306', '35010311']"
797,35010305,"['35010310', '35010307', '35010305', '35010303', '35010304']"
798,35010306,"['35010303', '35010304', '35010306', '35010311', '35010308', '35010301']"
799,35010307,"['35010309', '35010310', '35010307', '35010305']"
800,35010308,"['35010306', '35010311', '35010308', '35010301']"
801,35010309,"['35010701', '35010309', '35010310', '35010307']"
802,35010310,"['35010701', '35010309', '35010310', '35010307', '35010305', '35010303', '35010702']"
803,35010311,"['35010304', '35010306', '35010311', '35010308', '35010301']"
804,35010312,"['35010301', '35010312', '35010313', '35010302']"
805,35010313,"['35010312', '35010313', '35010302']"
806,35010401,"['35010411', '35010409', '35010401', '35010403', '35010406', '35010408']"
807,35010402,"['35010205', '35010405', '35010402', '35010208', '35010407', '35010805']"
808,35010403,"['35010409', '35010401', '35010403', '35010407', '35010408', '35010501']"
809,35010404,"['35010406', '35010410', '35010404', '35010408', '35010101']"
810,35010405,"['35010405', '35010402']"
811,35010406,"['35010411', '35010401', '35010406', '35010410', '35010404', '35010408']"
812,35010407,"['35010402', '35010403', '35010407', '35010805', '35010501']"
813,35010408,"['35010409', '35010401', '35010403', '35010406', '35010404', '35010408', '35010101', '35010109', '35010501']"
814,40020013,"['40010604', '40020013', '40020011', '40020006', '40020007']"
815,40020014,"['40020018', '40020012', '40020021', '40020025', '40020014', '40020001']"
816,40020015,"['40020011', '40020016', '40020015', '40020019', '40020004', '40020007', '40020002']"
817,40020016,"['40020011', '40020009', '40020026', '40020016', '40020015', '40020019', '40020004']"
818,40020017,"['40020017', '40020006', '40020001', '40020007', '41020503']"
819,40020018,"['40020018', '40020014', '40020006', '40020001']"
820,40020019,"['40020016', '40020015', '40020019', '40020004']"
821,40020020,"['40020004', '40020024', '40020007', '40020020', '40010303', '41020502']"
822,40020021,"['40020022', '40020023', '40020005', '40020021', '40020025', '40020014', '40020001']"
823,40020022,"['40050101', '40020012', '40050102', '40020010', '40020022', '40020023', '40020021', '40020025']"
824,40020023,"['43010502', '40020010', '40020022', '40020023', '40020005', '40020021']"
825,40020024,"['40020001', '40020004', '40020024', '40020007', '40020020']"
826,40020025,"['40020012', '40020022', '40020021', '40020025', '40020014']"
827,40020026,"['40020011', '40020005', '40020008', '40020009', '40020026', '40020016', '40020001', '40020004']"
828,40030101,"['40030102', '40030701', '40030103', '40030101', '40030106', '40030205', '40030601', '40030309', '40030315']"
829,40030310,"['40030308', '40030314', '40030305', '40030311', '40030310', '40030802']"
830,40030311,"['40030308', '40030316', '40030311', '40030310', '40030802', '40030806']"
831,40030312,"['39040203', '40030302', '40030312', '40030308', '40030307', '39040201', '40030813']"
832,40030313,"['40030107', '40030306', '40030102', '40030104', '40030313', '40030303', '40030301', '40030304']"
833,40030314,"['40030301', '40030308', '40030317', '40030314', '40030305', '40030310']"
834,40030315,"['40030101', '40030601', '40030309', '40030317', '40030315', '40030305', '40030602', '40030802']"
835,40030316,"['40030308', '40030307', '40030316', '40030807', '40030311', '40030808', '40030806']"
836,40030317,"['40030303', '40030301', '40030309', '40030317', '40030314', '40030315', '40030305']"
837,49130102,"['49130103', '49130901', '49130102', '49130101', '49130601', '49130701']"
838,49130103,"['49130201', '49130103', '49130901', '49130102', '49130101', '49130601']"
839,49130201,"['50050301', '49010101', '49030501', '28060203', '49130201', '28060302', '49130103', '49130901', '28060301', '49130601']"
840,49130301,"['49030501', '49030101', '49130301', '49130501', '49130801', '49130601']"
841,49130401,"['49130501', '49060201', '49130601', '49130401', '49130701']"
842,49130501,"['49030701', '49030101', '49060101', '49130301', '49130501', '49130801', '49060201', '49130601', '49130401']"
843,49130601,"['49030501', '49130201', '49130103', '49130102', '49130301', '49130501', '49130801', '49130601', '49130401', '49130701']"
844,49130701,"['49130102', '49130601', '49130401', '49130701']"
845,49130801,"['49130301', '49130501', '49130801', '49130601']"
846,49130901,"['49130201', '49130103', '49130901', '28060301', '49130102', '49130101']"
847,50010101,"['50040201', '50040101', '50010101', '50010201', '50030101', '50020000']"
848,50010201,"['50010101', '50010201', '50030101', '50020000', '28060204']"
849,50020000,"['50010101', '50010201', '47070000', '50020000', '50050301', '28060204', '28060203', '47060000']"
850,50030101,"['50040101', '50010101', '50010201', '50030101', '50030201', '50030401', '28060201', '50030301', '28060202', '28060204']"
851,50030201,"['50040101', '50030101', '50030201', '50030401', '28040401', '50030301', '28040405']"
852,50030301,"['50030101', '50030201', '50030301', '28040405', '28060202', '28040105', '28040101']"
853,50030401,"['50030101', '50030201', '50030401']"
854,50040101,"['50040201', '50040101', '50010101', '42030201', '42030103', '50030101', '50030201']"
855,50040201,"['50040201', '50040101', '50010101']"
856,50050101,"['50050301', '49010101', '47050000', '47060000', '47030201', '50050201', '50050101']"
857,50050201,"['49010101', '47030201', '50050201', '50050101']"
858,50050301,"['50020000', '50050301', '49010101', '28060203', '49130201', '47060000', '50050101']"
859,51010000,"['51040201', '51020101', '51040101', '51020201', '51010000', '48060101']"
860,09020110,"['09020201', '09020101', '09020110', '09020109', '09020204', '09020106']"
861,09020111,"['09010703', '09020104', '09020111', '09020106']"
862,09020201,"['09020103', '09020205', '09020108', '09020202', '09020201', '09020101', '09020110', '09020303', '09020207', '09020109', '09020204']"
863,09020202,"['09020405', '09020205', '09020306', '09020202', '09020201', '09020303']"
864,09020203,"['09020206', '09020207', '09020109', '09020204', '09020106', '09020203']"
865,09020204,"['09020201', '09020110', '09020207', '09020109', '09020204', '09020106', '09020203']"
866,09020205,"['09020401', '09020103', '09020405', '09020205', '09020202', '09020201']"
867,09020206,"['09020501', '10020202', '10020210', '09020303', '09020206', '09020207', '09020203']"
868,09020207,"['09020201', '09020303', '09020206', '09020207', '09020204', '09020203']"
869,09020301,"['09020404', '09020307', '09020401', '09020301', '09020405', '09020306', '09020305', '09020302', '09020303']"
870,09020302,"['10030301', '09020301', '09020305', '09020302', '09020304', '09020303']"
871,09020303,"['09020501', '09020301', '09020306', '09020202', '09020201', '09020302', '09020304', '09020303', '09020206', '09020207']"
872,09020304,"['09020501', '10030301', '09020302', '09020304', '09020303']"
873,09020305,"['10030101', '09020307', '10030301', '09020301', '09020305', '09020302']"
874,09020306,"['09020301', '09020405', '09020306', '09020202', '09020303']"
875,09020307,"['10030101', '10030502', '10030504', '09020404', '09020307', '09020301', '09020305']"
876,09020401,"['09020402', '09020403', '09020404', '09020401', '09020103', '09020301', '09020405', '09020205']"
877,09020402,"['07130102', '10030503', '10030504', '09020402', '09020403', '09020404', '09020401', '09020102', '09020103']"
878,09020403,"['09020402', '09020403', '09020401', '09020102', '09020103']"
879,09020404,"['10030504', '09020402', '09020404', '09020307', '09020401', '09020301']"
880,09020405,"['09020401', '09020301', '09020405', '09020205', '09020306', '09020202']"
881,09020501,"['10020203', '09020501', '10020202', '10030301', '09020304', '09020303', '09020206']"
882,10010101,"['08030204', '10040109', '10040111', '10010108', '10010107', '10010105', '10010101', '10010102', '10010109']"
883,10010102,"['10010203', '10010110', '10010105', '10010101', '10010102', '10010106', '10010109', '10010104', '10010201', '10010103']"
884,10010103,"['10010203', '10010102', '10010106', '10010201', '10010103', '10010204']"
885,10010104,"['10010102', '10010106', '10010109', '10010104', '10020113', '10020109', '10010204', '10020115', '10020103']"
886,10010105,"['10010110', '10010107', '10010105', '10010101', '10010102']"
887,10010106,"['10010102', '10010106', '10010104', '10010201', '10010103', '10010204']"
888,10010107,"['08030204', '10010110', '10010107', '10010105', '10010101']"
889,10010108,"['10040111', '10040101', '10040107', '10010108', '10010101', '10010109']"
890,10010109,"['10040107', '10010108', '10040206', '10010101', '10010102', '10010109', '10010104', '10020113', '10040108', '10020103']"
891,10010110,"['08030104', '10010203', '08030204', '10010110', '10010107', '10010105', '10010102']"
892,10010201,"['10010203', '10010205', '10010202', '10010102', '10010106', '10010201', '10010103', '10010204']"
893,10010202,"['10010205', '17020104', '17020103', '17020102', '10010202', '17010310', '10010201', '10010204']"
894,10010203,"['08030101', '08030104', '14030304', '10010203', '10010205', '10010110', '10010102', '10010201', '10010103']"
895,10010204,"['10010202', '17010310', '10010106', '10010104', '10010201', '10010103', '10010204', '10020115']"
896,10010205,"['14030304', '10010203', '10010205', '17020607', '17020102', '10010202', '10010201']"
897,10020101,"['10020213', '10020117', '10020201', '10020101', '10020112', '10020116', '10020106']"
898,10020102,"['10040108', '10020103', '10040204', '10020102', '10020110', '10020213', '10020117']"
899,10020103,"['10040201', '10040206', '10010109', '10010104', '10020113', '10040108', '10020103', '10040204', '10020102', '10020110']"
900,10020104,"['10020201', '10020207', '10020105', '10020114', '10020104', '10020106', '10020211', '10020204', '10020209']"
901,10020105,"['10020116', '10020105', '10020114', '10020104', '10020106']"
902,10020106,"['10020201', '10020101', '10020116', '10020105', '10020104', '10020106']"
903,10020107,"['10020109', '10020111', '10020107', '10020112', '10020108', '10020114']"
904,10020108,"['10020107', '10020112', '10020116', '10020108', '10020114']"
905,10020109,"['10010104', '10020113', '10020109', '10020115', '10020111', '10020107', '10020112']"
906,10020110,"['10020113', '10020103', '10020102', '10020110', '10020117']"
907,10020111,"['10020109', '10020115', '10020111', '10020107']"
908,10020112,"['10020113', '10020109', '10020107', '10020117', '10020101', '10020112', '10020116', '10020108']"
909,10020113,"['10010109', '10010104', '10020113', '10020109', '10020103', '10020110', '10020117', '10020112']"
910,10020114,"['10020107', '10020116', '10020108', '10020105', '10020114', '10020104']"
911,10020115,"['17010310', '10010104', '10020109', '10010204', '10020115', '10020111']"
912,10020116,"['10020101', '10020112', '10020116', '10020108', '10020105', '10020114', '10020106']"
913,10020117,"['10020113', '10020102', '10020110', '10020213', '10020117', '10020101', '10020112']"
914,10020201,"['10020213', '10020201', '10020101', '10020207', '10020203', '10020104', '10020106']"
915,10020202,"['10020203', '10020206', '09020501', '10020208', '10020202', '10020210', '10020209', '09020206']"
916,10020203,"['10040204', '10020213', '10020201', '10020207', '10020203', '10020206', '09020501', '10020202', '10030305', '10030301']"
917,10020204,"['10020104', '10020211', '10020212', '10020204', '10020209']"
918,10020205,"['10020207', '10020206', '10020208', '10020205']"
919,10020206,"['10020207', '10020203', '10020206', '10020208', '10020202', '10020205']"
920,10020207,"['10020201', '10020207', '10020203', '10020206', '10020208', '10020104', '10020205', '10020211']"
921,10020208,"['10020207', '10020206', '10020208', '10020202', '10020205', '10020211', '10020212', '10020209']"
922,10020209,"['10020208', '10020202', '10020210', '10020104', '10020212', '10020204', '10020209']"
923,10020210,"['10020202', '10020210', '10020209', '09020206']"
924,10020211,"['10020207', '10020208', '10020104', '10020211', '10020212', '10020204']"
925,10020212,"['10020208', '10020211', '10020212', '10020204', '10020209']"
926,10020213,"['10040204', '10020102', '10020213', '10020117', '10020201', '10020101', '10020203']"
927,10030101,"['10030201', '10030505', '08020101', '08020106', '10030404', '10030103', '10030101', '10030302', '10030102', '07130101', '10030502', '09020307', '10030301', '10030304', '09020305']"
928,10030102,"['10030101', '10030302', '10030102', '10030301', '10030304']"
929,10030103,"['10030404', '10030103', '10030101', '10030302', '10030306']"
930,10030201,"['08020205', '08030302', '10030201', '08020103', '08020106', '10030404', '10030101', '10030203', '10030202', '10030401']"
931,10030202,"['10030201', '10030203', '10030202', '10030401']"
932,10030203,"['08030302', '10030201', '10030203', '10030202', '10030204', '10030401']"
933,10030204,"['08030303', '08030302', '08030301', '10030203', '10030204', '10040103', '10030401', '10030405', '10040105', '10040102']"
934,10030301,"['10030101', '10030302', '10030102', '10020203', '09020501', '10030306', '10030303', '10030403', '10030305', '10030301', '10030304', '09020305', '09020302', '09020304']"
935,10030302,"['10030103', '10030101', '10030302', '10030102', '10030306', '10030301', '10030304']"
936,10030303,"['10030406', '10030306', '10030407', '10030303', '10030307', '10030403', '10030301', '10030304']"
937,10030304,"['10030101', '10030302', '10030102', '10030306', '10030303', '10030301', '10030304']"
938,10030305,"['10040204', '10020203', '10040202', '10030403', '10040205', '10030305', '10030301']"
939,10030306,"['10030404', '10030103', '10030302', '10030406', '10030306', '10030303', '10030301', '10030304']"
940,10030307,"['10030303', '10030307', '10030403']"
941,10030401,"['10030201', '10030404', '10030203', '10030202', '10030204', '10030401', '10030405', '10030402', '10030406']"
942,10030402,"['10030401', '10030405', '10040105', '10030402', '10030406', '10040104']"
943,10030403,"['10040201', '10030407', '10040203', '10040202', '10030303', '10030307', '10030403', '10030305', '10030301']"
944,10030404,"['10030201', '10030404', '10030103', '10030101', '10030401', '10030406', '10030306']"
945,10030405,"['10030204', '10040103', '10030401', '10030405', '10040105', '10030402', '10040104']"
946,10030406,"['10030404', '10030401', '10030402', '10030406', '10040104', '10030306', '10030407', '10040203', '10030303']"
947,10030407,"['10030406', '10040104', '10030407', '10040203', '10030303', '10030403']"
948,10030501,"['07130305', '07130301', '10030501', '10030505', '08020101', '07130101']"
949,10030502,"['10030101', '07130101', '10030506', '10030502', '10030504', '09020307']"
950,10030503,"['07130102', '07130101', '10030503', '10030504', '09020402']"
951,10030504,"['07130101', '10030506', '10030503', '10030502', '10030504', '09020402', '09020404', '09020307']"
952,10030505,"['10030501', '10030505', '08020101', '10030101', '07130101']"
953,10030506,"['07130101', '10030506', '10030502', '10030504']"
954,10040101,"['10040110', '10040106', '10040111', '10040101', '10040107', '10010108']"
955,10040102,"['08030303', '08030202', '10030204', '10040103', '10040102', '10040109']"
956,10040103,"['10030204', '10040103', '10030405', '10040105', '10040102', '10040109', '10040106']"
957,10040104,"['10030405', '10040105', '10030402', '10030406', '10040104', '10040201', '10030407', '10040203']"
958,10040105,"['10030204', '10040103', '10030405', '10040105', '10030402', '10040104', '10040106', '10040201']"
959,10040106,"['10040103', '10040105', '10040109', '10040110', '10040106', '10040101', '10040107', '10040201']"
960,10040107,"['10040106', '10040101', '10040107', '10010108', '10040201', '10040206', '10010109']"
961,10040108,"['10040206', '10010109', '10040108', '10020103', '10020102']"
962,10040109,"['08030202', '08030204', '10040103', '10040102', '10040109', '10040110', '10040106', '10040111', '10010101']"
963,10040110,"['10040109', '10040110', '10040106', '10040111', '10040101']"
964,10040111,"['10040109', '10040110', '10040111', '10040101', '10010108', '10010101']"
965,10040201,"['10040105', '10040104', '10040106', '10040107', '10040201', '10040206', '10020103', '10040204', '10040203', '10040202', '10030403', '10040205']"
966,10040202,"['10040201', '10040202', '10030403', '10040205', '10030305']"
967,10040203,"['10030406', '10040104', '10040201', '10030407', '10040203', '10030403']"
968,10040204,"['10040201', '10020103', '10040204', '10020102', '10020213', '10020203', '10040205', '10030305']"
969,10040205,"['10040201', '10040204', '10040202', '10040205', '10030305']"
970,10040206,"['10040107', '10040201', '10040206', '10010109', '10040108', '10020103']"
971,11010101,"['11020101', '11020306', '11010403', '11010101', '11010103', '11010302', '11010102', '11020301', '11010105', '11010202', '11010304', '11010303', '11010201', '11010208']"
972,11010102,"['11010101', '11010103', '11010302', '11010102', '11010304', '11010201', '11010208']"
973,11010103,"['11010101', '11010103', '11010302', '11010102', '11010201']"
974,11010104,"['11020301', '11010503', '11010104', '11010105', '11010504', '11010202', '11010206']"
975,11010105,"['11010101', '11020301', '11010104', '11010105', '11010202']"
976,11010201,"['11010101', '11010103', '11010102', '11010202', '11010201', '11010205', '11010204', '11010208']"
977,11010202,"['11010101', '11010104', '11010105', '11010504', '11010202', '11010206', '11010201', '11010205']"
978,11010203,"['11010205', '11010204', '11010203', '11030204']"
979,11010204,"['11010201', '11010205', '11010204', '11010208', '11010203', '11030403', '11030204']"
980,11010205,"['11010207', '08010501', '08010503', '11010202', '11010206', '11010201', '11010205', '11010204', '11010203', '11030204']"
981,11010206,"['11010601', '11010207', '11010104', '11010504', '11010202', '11010206', '11010205']"
982,11010207,"['11010601', '11010603', '11010207', '08010501', '11010206', '11010205']"
983,11010208,"['11010101', '11010102', '11010303', '11010201', '11010204', '11010208', '11030403']"
984,11010301,"['11010401', '11010302', '11010301', '11010305', '11030401']"
985,11010302,"['11010403', '11010401', '11010101', '11010103', '11010302', '11010301', '11010102', '11010304', '11010305']"
986,11010303,"['11010101', '11010304', '11010305', '11030401', '11010303', '11030402', '11010208', '11030403']"
987,11010304,"['11010101', '11010302', '11010102', '11010304', '11010305', '11010303']"
988,11010305,"['11010302', '11010301', '11010304', '11010305', '11030401', '11010303', '11030402']"
989,11010401,"['11010403', '11010402', '11010401', '11010302', '11010301']"
990,11010402,"['11010403', '11010402', '11010401']"
991,11010403,"['11010403', '11010402', '11010401', '11010101', '11010302']"
992,11010501,"['22030501', '14040203', '14040112', '14040201', '11010505', '11010501', '11010602', '11010601', '11010503', '11010504']"
993,11010502,"['22030606', '22030501', '22030603', '11010502', '11010505']"
994,11010503,"['11010505', '11010501', '11020303', '11020301', '11010503', '11010104', '11010504']"
995,11010504,"['11010501', '11010602', '11010601', '11010503', '11010104', '11010504', '11010202', '11010206']"
996,11010505,"['22030501', '22030603', '11010502', '11010505', '11010501', '11020303', '11010503']"
997,11010601,"['14040203', '11010501', '11010602', '11010601', '11010603', '11010207', '11010504', '11010206']"
998,11010602,"['11010501', '11010602', '11010601', '11010504']"
999,11010603,"['14040203', '11010601', '11010603', '11010207', '08010501', '08010502']"
1000,11020101,"['22030607', '22030401', '22030403', '11020101', '11020304', '22030603', '11020201', '11020306', '11010101']"
1001,11020201,"['11020205', '22030401', '11020101', '11020201']"
1002,11020202,"['11020204', '11020203', '11020202', '11020205']"
1003,11020203,"['11020204', '11020203', '11020202', '11020205']"
1004,11020204,"['22050403', '22050402', '11020204', '11020203', '11020202', '11020205']"
1005,11020205,"['22050403', '11020204', '11020203', '11020202', '11020205', '22050303', '22030401', '11020201']"
1006,11020301,"['11020306', '11010101', '11020303', '11020302', '11020301', '11010503', '11010104', '11010105']"
1007,11020302,"['11020306', '11020303', '11020302', '11020301']"
1008,11020303,"['11020304', '22030603', '11010505', '11020306', '11020305', '11020303', '11020302', '11020301', '11010503']"
1009,11020304,"['11020101', '11020304', '22030603', '11020306', '11020305', '11020303']"
1010,11020305,"['11020304', '11020306', '11020305', '11020303']"
1011,11020306,"['11020101', '11020304', '11020306', '11010101', '11020305', '11020303', '11020302', '11020301']"
1012,11030101,"['11030102', '11030303', '11030201', '11030101', '08020303', '08020403', '08020406', '08020407']"
1013,11030102,"['11030404', '11030304', '11030302', '11030102', '11030303', '11030201', '11030101']"
1014,11030201,"['11030404', '11030102', '11030403', '11030202', '11030203', '11030201', '11030101', '08020303']"
1015,11030202,"['11030403', '11030204', '11030202', '08010304', '08020304', '11030203', '11030201']"
1016,11030203,"['11030202', '08020304', '11030203', '08020305', '08020302', '11030201', '08020303']"
1017,11030204,"['08010503', '11010205', '11010204', '11010203', '11030403', '11030204', '11030202', '08010304']"
1018,11030301,"['11030401', '11030301', '11030404', '11030304', '11030302']"
1019,11030302,"['11030301', '11030304', '11030302', '11030102', '11030303']"
1020,11030303,"['11030302', '11030102', '11030303', '11030101']"
1021,11030304,"['11030301', '11030404', '11030304', '11030302', '11030102']"
1022,11030401,"['11010301', '11010305', '11030401', '11010303', '11030402', '11030301', '11030404']"
1023,11030402,"['11010305', '11030401', '11010303', '11030402', '11030404', '11030403']"
1024,11030403,"['11010303', '11030402', '11030404', '11010204', '11010208', '11030403', '11030204', '11030202', '11030201']"
1025,11030404,"['11030401', '11030402', '11030301', '11030404', '11030304', '11030102', '11030403', '11030201']"
1026,12010101,"['12040106', '12010103', '12010101', '12010102', '12010501', '12010401', '12070101', '12010605', '12010601', '12010608', '12040205', '12040204', '12010305']"
1027,12010102,"['12010103', '12010101', '12010104', '12010102', '12010501', '12010201', '12070301']"
1028,12010103,"['12040106', '12010103', '12010101', '12010104', '12010102']"
1029,12010104,"['12040106', '12010103', '12040102', '12010104', '12010102', '02030009', '12010201', '02050107']"
1030,12010201,"['12010104', '12010102', '02030009', '12010201', '12070301', '02030003', '02030008']"
1031,12010301,"['12010304', '12010402', '12050205', '12050304', '12050301', '12010306', '12010301']"
1032,12010302,"['12010304', '12010302', '12050205', '12050104', '12050201', '12050202', '12050301', '12050302']"
1033,12010303,"['12010402', '12010603', '12010306', '12010303', '12010305']"
1034,12010304,"['12010304', '12010302', '12050205', '12050301', '12010301', '12050302']"
1035,12010305,"['12010402', '12010101', '12010401', '12010605', '12010603', '12010303', '12010305']"
1036,12010306,"['12010402', '12010607', '12010603', '12050304', '12010306', '12010303', '12010301']"
1037,12010401,"['12010402', '12010403', '12010101', '12010401', '12050204', '12070101', '12010305']"
1038,12010402,"['12010402', '12050205', '12010403', '12050201', '12010401', '12050204', '12010306', '12010303', '12010305', '12010301']"
1039,12010403,"['12010402', '12010403', '12010401', '12050204']"
1040,12010501,"['12010101', '12010102', '12010501', '12070101', '12070301', '12070302']"
1041,12010601,"['12010101', '12030101', '12010609', '12010602', '12040202', '12010604', '12010605', '12010601', '12010608']"
1042,12010602,"['12030101', '12010609', '12010602', '12040202', '12010601', '12010608']"
1043,12010603,"['12030305', '12030301', '12010606', '12010605', '12010607', '12010603', '12010306', '12010303', '12010305']"
1044,12010604,"['12030104', '12030102', '12010609', '12010604', '12010606', '12010605', '12010601']"
1045,12010605,"['12010101', '12030104', '12030302', '12010604', '12010606', '12010605', '12010601', '12010603', '12010305']"
1046,12010606,"['12030302', '12030307', '12030305', '12010604', '12010606', '12010605', '12010603']"
1047,12010607,"['12030301', '12030303', '12010607', '12010603', '12050304', '12010306']"
1048,12010608,"['12010101', '12010609', '12010602', '12040202', '12010601', '12010608', '12040205']"
1049,12010609,"['12030101', '12030102', '12010609', '12010602', '12010604', '12010601', '12010608']"
1050,12020101,"['05030507', '05030506', '12020103', '12060109', '12020101', '12060107', '12020401', '12020102', '12020402']"
1051,12020102,"['12020101', '12060107', '12060112', '12020102', '12060106', '12020402', '12060206']"
1052,12020103,"['05030306', '05030507', '12020201', '12020103', '12060111', '12060109', '12020101']"
1053,12020201,"['05030306', '12020202', '12020203', '12030404', '12020201', '12020103', '12060111']"
1054,12020202,"['05030305', '12020202', '12020203', '12020204', '12030404', '12020201']"
1055,12020203,"['05030305', '05030301', '05030306', '12020202', '12020203', '12020201']"
1056,12020204,"['05030305', '12020202', '07030201', '07030404', '12020204', '12030403', '12030404']"
1057,12020301,"['12020401', '12020302', '12020301', '12020403', '12020304']"
1058,12020302,"['12020401', '12020303', '12020302', '12020301', '12020304', '02050203', '02050201']"
1059,12020303,"['05030401', '12020401', '12020303', '12020302', '02020104', '02050203']"
1060,12020304,"['12020302', '12020301', '12020403', '12020304', '12060201', '02050201']"
1061,12020401,"['05030506', '12020101', '05030401', '12020401', '12020402', '12020303', '12020302', '12020301', '12020403']"
1062,12020402,"['12020101', '12020401', '12020102', '12020402', '12060206', '12020403']"
1063,12020403,"['12020401', '12020402', '12020301', '12060206', '12020403', '12020304', '12060201']"
1064,12030101,"['07030403', '12030207', '07030402', '07090701', '12030103', '12030101', '12030104', '12030102', '12030105', '12010609', '12010602', '12040202', '12010601']"
1065,12030102,"['12030101', '12030104', '12030102', '12010609', '12010604']"
1066,12030103,"['12030207', '12030103', '12030101', '12030105', '12040202', '12040201']"
1067,12030104,"['07090701', '12030101', '12030104', '12030306', '12030102', '12030302', '12010604', '12010605']"
1068,12030105,"['12030207', '12030103', '12030206', '12030202', '12030101', '12030105', '12040208', '12040201']"
1069,12030201,"['12030203', '12030207', '12030205', '12030204', '12030201', '12030206', '12030202']"
1070,12030202,"['12030203', '12030201', '12030405', '12030206', '12030202', '12030105', '12040206', '12040208']"
1071,12030203,"['07030404', '12030406', '12030203', '12030207', '12030205', '12030204', '12030402', '12030201', '12030405', '12030202']"
1072,12030204,"['12030203', '12030207', '12030205', '12030204', '12030201']"
1073,12030205,"['12030203', '12030205', '12030204', '12030201']"
1074,12030206,"['12030207', '12030201', '12030206', '12030202', '12030105']"
1075,12030207,"['07030404', '07030403', '12030203', '12030207', '12030204', '12030201', '12030103', '12030206', '12030101', '12030105']"
1076,12030301,"['12030304', '12030307', '12030308', '12030305', '12030301', '12030303', '12010607', '12010603']"
1077,12030302,"['12030104', '12030306', '12030302', '12030307', '12010606', '12010605']"
1078,12030303,"['12030308', '12050303', '12030301', '12030303', '12010607', '12050304']"
1079,12030304,"['07090701', '12030306', '12030304', '12030307', '12030308', '12030301']"
1080,12030305,"['12030307', '12030305', '12030301', '12010606', '12010603']"
1081,12030306,"['07090701', '12030104', '12030306', '12030304', '12030302', '12030307']"
1082,12030307,"['12030306', '12030304', '12030302', '12030307', '12030305', '12030301', '12010606']"
1083,12030308,"['07090701', '12030304', '12030308', '12050303', '12030301', '12030303']"
