gasStationID,ddName_01,municipalityName_01,KOD_01,KOD_11,ddName_11,dd_population_11,municipalityCode_11,municipalityName_11,lat_11,lon_11,municipality_population_11,KOD_21,ddName_21,dd_population_21,municipalityCode_21,municipalityName_21,municipality_population_21
1322,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
9557,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10861,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
12878,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
12,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1330,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
4188,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
12900,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1326,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
7,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
8,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
2294,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
4187,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10547,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
2295,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1325,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13568,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
2293,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
14289,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
3566,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1323,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1327,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
