,KALCODE,Result,Average_Fuel_Price
116,07110101,"[1, 2, 0, 0, 0]",1.756163721028483
117,07120101,"[0, 1, 0, 2, 0]",1.7379098108747046
118,07120201,"[0, 1, 2, 0, 0, 0, 0]",1.7713918232535906
119,07120304,"[0, 2, 0, 0, 1, 1]",1.7306261230822544
120,07130101,"[0, 0, 1, 0, 0, 2]",1.7060163862103737
121,07130201,"[1, 1, 2, 1, 0]",1.7220556533257638
122,07130204,"[0, 0, 1, 0, 2]",1.755915933390103
123,07130301,"[2, 1, 0]",1.7823820214075967
124,07130302,"[2, 1, 0, 1]",1.7050121715610511
125,07140101,"[0, 0, 0, 2, 1]",1.7613187223474172
126,07140201,"[2, 0, 1]",1.6092283419391855
127,07140204,"[0, 0, 0, 0, 0, 2, 1]",1.6841558361710178
128,07140301,"[2, 1, 1, 0, 1]",1.7660363843092663
129,07140302,"[0, 0, 2, 0, 0, 1, 0, 0]",1.7712997494800529
130,07140303,"[2, 0, 2, 1, 2]",1.8350000000000006
131,08010101,"[0, 1, 2, 0]",1.7762195217698873
132,08010201,"[0, 1, 0, 0, 0, 2]",1.7996858281161068
133,08010202,"[0, 1, 2, 0, 1]",1.6625655138821234
134,08010203,"[1, 1, 0, 2]",1.749700954400848
135,08010401,"[1, 2, 0]",1.6907038863109047
136,08020101,"[2, 0, 1, 1, 2, 1]",1.7924296028274982
137,08020102,"[0, 1]",1.7635425531914894
138,08020206,"[0, 1, 2, 1]",2.0816617647058826
139,08020301,"[1, 0]",1.8247712315739422
140,08020302,"[2, 0, 1]",2.0408666666666666
141,08020303,"[1, 0, 2, 0, 1]",1.7562978537012701
142,08020401,"[1, 0]",1.7489999999999999
143,08020403,"[1, 2, 0, 0, 2, 0]",1.7851183362624485
144,08030101,"[1, 0, 2, 2]",1.7557270761444674
145,08030105,"[1, 0]",1.7991382488479257
146,08030201,"[2, 1, 0]",1.7419882142857142
147,08030203,"[2, 0, 1]",1.7103886213124624
148,08030302,"[1, 2, 1, 1, 0, 1, 1]",1.7055774086378737
149,09010101,"[0, 2, 1]",1.830414935688871
150,09010106,"[1, 0, 2]",1.8380375893134508
151,09010109,"[2, 1, 0]",1.8108867600800684
152,09010202,"[1, 0]",1.7938046630651123
153,09010204,"[2, 1, 0]",1.844771241830065
154,09010301,[0],2.1596763285024156
155,09010408,[0],1.7218314606741572
156,09010601,[0],1.8990000000000007
157,09020202,"[0, 0]",1.653
158,09020301,"[1, 0]",1.738725953329539
159,09020401,"[1, 0]",1.7327246049661402
160,10010101,"[1, 2, 0]",1.7586296545695115
161,10010108,"[1, 2, 0]",1.7894954833522512
162,10020101,[0],1.7846307483910655
163,10020103,"[2, 1, 0]",1.7398092902481246
164,10020211,[0],1.524
165,10030101,"[2, 1, 0, 2, 2]",1.7379033037987306
166,10030201,"[1, 2, 0, 0]",1.6053756613756613
167,10030404,"[1, 0, 2]",1.7473414216385954
168,10030501,"[2, 0, 1, 2]",1.6075502958579884
169,10040101,"[2, 0, 1]",1.5343102818371606
170,10040105,"[1, 1, 2, 0]",1.6483468468468467
171,10040106,"[2, 0, 1, 0]",1.4965362318840578
172,10040108,"[1, 0]",2.009896739130435
173,10040201,"[2, 1, 0, 1, 0]",1.7082781098775977
174,10040205,"[1, 0]",2.1207906066536197
175,11010101,"[0, 2, 0, 1]",1.8104245443310323
176,11010301,"[2, 1, 0]",1.8421241610813828
177,11010401,"[2, 0, 1]",1.6582826086956521
178,11010403,"[0, 2, 1]",1.678683418512209
179,11010504,[0],1.7682978723404255
180,11020101,"[1, 2, 1, 0]",1.7880691166554281
181,11020201,"[0, 1]",1.8905913520673667
182,11020202,"[0, 1]",1.9006465652857891
183,11020203,"[0, 1]",1.858468767785999
184,11020301,"[1, 0]",1.6102937210282342
185,11030101,"[1, 0, 2, 1]",2.089
186,11030201,"[2, 1, 0]",1.719062678062678
187,11030401,"[0, 1]",2.0138178438661707
188,12010101,"[0, 1, 0, 0, 2]",1.763579762590055
189,12010401,"[1, 2, 0]",1.7120246010638296
190,12020101,"[2, 0, 1]",1.6980000000000004
191,12020103,"[1, 0]",1.7857403846153845
192,12020202,"[2, 0, 1]",1.5244223999999997
193,12020203,"[1, 0]",1.8513475580844003
194,12020204,"[2, 1, 0]",1.8773793696275072
